datetime,load_forecast,load_true,sum_forecast,solar_forecast,onshore_forecast
1/1/2015 0:00,50137,49025,8104,0,7503
1/1/2015 0:15,49545,48534,8187,0,7588
1/1/2015 0:30,49067,48548,8280,0,7681
1/1/2015 0:45,48476,48249,8363,0,7765
1/1/2015 1:00,47452,47658,8655,0,8056
1/1/2015 1:15,47264,47184,8724,0,8126
1/1/2015 1:30,46722,46797,8801,0,8203
1/1/2015 1:45,46372,46490,8860,0,8262
1/1/2015 2:00,45985,46101,8888,0,8290
1/1/2015 2:15,45792,45832,8921,0,8322
1/1/2015 2:30,45728,45508,8932,0,8332
1/1/2015 2:45,45501,45035,8956,0,8355
1/1/2015 3:00,45473,44655,8972,0,8370
1/1/2015 3:15,45262,44378,9030,0,8427
1/1/2015 3:30,45232,43981,9067,0,8463
1/1/2015 3:45,45258,44001,9107,0,8501
1/1/2015 4:00,45331,43962,9141,0,8538
1/1/2015 4:15,45264,43789,9195,0,8592
1/1/2015 4:30,45490,43705,9257,0,8650
1/1/2015 4:45,45607,43606,9313,0,8705
1/1/2015 5:00,45783,43891,9364,0,8754
1/1/2015 5:15,45783,43693,9417,0,8807
1/1/2015 5:30,45737,43488,9466,0,8854
1/1/2015 5:45,45503,43286,9501,0,8888
1/1/2015 6:00,44242,43108,9584,0,8971
1/1/2015 6:15,43452,43511,9655,0,9042
1/1/2015 6:30,43979,44081,9738,0,9124
1/1/2015 6:45,44630,44481,9830,0,9216
1/1/2015 7:00,46213,44943,9916,0,9301
1/1/2015 7:15,47594,45134,10019,0,9404
1/1/2015 7:30,47858,45504,10145,0,9530
1/1/2015 7:45,48349,45923,10301,0,9685
1/1/2015 8:00,49339,46295,10408,3,9788
1/1/2015 8:15,49841,46491,10504,11,9876
1/1/2015 8:30,49804,46463,10606,40,9948
1/1/2015 8:45,50481,46896,10823,161,10043
1/1/2015 9:00,51565,47758,11080,335,10126
1/1/2015 9:15,52430,48487,11369,542,10207
1/1/2015 9:30,52860,49165,11703,762,10321
1/1/2015 9:45,53306,49788,12098,1035,10441
1/1/2015 10:00,53855,50119,12464,1324,10517
1/1/2015 10:15,54502,50829,12792,1609,10560
1/1/2015 10:30,55303,51537,13114,1893,10598
1/1/2015 10:45,55741,52054,13389,2135,10630
1/1/2015 11:00,56705,52940,13705,2355,10726
1/1/2015 11:15,57284,53447,13934,2556,10753
1/1/2015 11:30,57917,53899,14154,2753,10776
1/1/2015 11:45,57994,54368,14302,2874,10804
1/1/2015 12:00,58035,54796,14406,2969,10808
1/1/2015 12:15,58005,55193,14505,3030,10846
1/1/2015 12:30,57915,55186,14598,3061,10907
1/1/2015 12:45,56818,55020,14612,3018,10965
1/1/2015 13:00,55345,54627,14594,2953,11013
1/1/2015 13:15,54964,54124,14531,2857,11046
1/1/2015 13:30,55505,53754,14442,2737,11077
1/1/2015 13:45,55117,53642,14264,2534,11102
1/1/2015 14:00,54280,53243,14101,2312,11160
1/1/2015 14:15,54595,53095,13922,2073,11219
1/1/2015 14:30,55248,52991,13718,1815,11274
1/1/2015 14:45,54755,52682,13444,1496,11319
1/1/2015 15:00,54969,52861,13245,1174,11444
1/1/2015 15:15,54979,52963,13098,856,11614
1/1/2015 15:30,54831,53354,12971,581,11762
1/1/2015 15:45,54969,53763,12936,384,11923
1/1/2015 16:00,55502,54044,12903,233,12041
1/1/2015 16:15,55933,54622,12936,118,12188
1/1/2015 16:30,57043,55532,12995,25,12340
1/1/2015 16:45,58396,56546,13134,10,12494
1/1/2015 17:00,59344,58062,13266,0,12635
1/1/2015 17:15,60264,58926,13440,0,12809
1/1/2015 17:30,60885,59063,13626,0,12996
1/1/2015 17:45,61063,59008,13828,0,13198
1/1/2015 18:00,61475,58803,14018,0,13388
1/1/2015 18:15,61549,58519,14218,0,13588
1/1/2015 18:30,61500,58229,14397,0,13767
1/1/2015 18:45,61217,57826,14620,0,13991
1/1/2015 19:00,61071,57943,14851,0,14220
1/1/2015 19:15,60715,57860,15116,0,14485
1/1/2015 19:30,60306,57163,15386,0,14755
1/1/2015 19:45,59631,56122,15661,0,15030
1/1/2015 20:00,58893,55367,15956,0,15325
1/1/2015 20:15,57931,54595,16274,0,15644
1/1/2015 20:30,57047,53758,16650,0,16021
1/1/2015 20:45,56404,52772,17051,0,16423
