Date,Open,High,Low,Close,Volume,OpenInt
3/10/1999,45.722,45.75,44.967,45.665,11700414,0
3/11/1999,45.994,46.26,44.988,45.88,21670048,0
3/12/1999,45.721,45.749,44.406,44.77,19553768,0
3/15/1999,45.101,46.103,44.625,46.052,14245348,0
3/16/1999,46.253,46.643,45.749,46.447,10971066,0
3/17/1999,46.443,46.5,45.969,46.106,8867842,0
3/18/1999,46.055,47.033,46.042,47.003,10843416,0
3/19/1999,47.623,47.623,45.775,45.806,16013553,0
3/22/1999,45.992,46.102,45.156,45.24,11239060,0
3/23/1999,44.991,45.16,43.567,43.65,24517597,0
3/24/1999,44.045,45.164,43.374,45.136,18890150,0
3/25/1999,45.829,46.776,45.529,46.776,18192179,0
3/26/1999,46.388,46.919,46.079,46.276,18465368,0
3/29/1999,46.837,47.983,46.554,47.955,11437183,0
3/30/1999,47.892,48.286,47.416,47.616,11050702,0
3/31/1999,48.398,48.451,46.774,46.916,18467527,0
4/1/1999,48.291,48.346,47.115,47.898,19492523,0
4/5/1999,48.675,49.702,48.375,49.63,12741906,0
4/6/1999,49.568,50.272,49.153,49.725,16825412,0
4/7/1999,50.187,50.298,48.146,49.207,26669362,0
4/8/1999,49.124,49.841,48.116,49.602,17786224,0
4/9/1999,49.514,50.014,49.376,49.905,11064510,0
4/12/1999,48.737,49.911,48.68,49.573,24453334,0
4/13/1999,49.885,49.995,48.515,48.906,22279128,0
4/14/1999,49.522,49.574,46.96,47.23,47531425,0
4/15/1999,47.392,47.946,45.718,47.869,39476014,0
4/16/1999,47.755,47.755,46.22,46.475,38633167,0
4/19/1999,46.775,47.168,43.824,44.289,43527134,0
4/20/1999,44.094,45.66,43.679,45.296,38946837,0
4/21/1999,45.714,47.558,45.1,47.53,24470447,0
4/22/1999,47.982,48.959,47.667,48.822,30485705,0
4/23/1999,48.565,49.829,48.066,49.461,15799577,0
4/26/1999,49.796,50.972,49.639,50.601,12124153,0
4/27/1999,50.973,51.224,49.195,49.83,36863308,0
4/28/1999,49.413,49.575,47.908,48.121,17167936,0
4/29/1999,47.893,48.173,46.721,47.726,42827866,0
4/30/1999,48.402,48.652,46.331,48.04,34208333,0
5/3/1999,47.896,48.09,46.984,47.782,24847266,0
5/4/1999,47.867,48.622,46.748,47.03,34507741,0
5/5/1999,47.059,48.453,45.632,48.453,28276439,0
5/6/1999,48.014,48.433,46.252,46.699,33933343,0
5/7/1999,47.115,47.509,46.108,47.369,36745877,0
5/10/1999,47.671,48.162,47.112,47.841,23717274,0
5/11/1999,48.227,48.845,47.952,48.593,19684582,0
5/12/1999,48.822,49.769,47.391,49.602,27973874,0
5/13/1999,49.992,50.078,48.456,48.679,22060664,0
5/14/1999,47.727,48.289,47.391,47.753,27298411,0
5/17/1999,47.335,48.761,46.869,48.612,22157913,0
5/18/1999,48.57,48.853,47.848,48.407,20725560,0
5/19/1999,48.6,49.101,47.846,49.074,17858852,0
5/20/1999,49.172,49.172,47.644,47.716,13413785,0
5/21/1999,47.871,48.012,47.034,47.284,24508348,0
5/24/1999,47.366,47.447,45.771,46.078,21403813,0
5/25/1999,46.026,46.693,44.375,44.571,39747623,0
5/26/1999,45.158,45.995,43.757,45.816,59878247,0
5/27/1999,45.629,46.435,45.044,45.769,52193336,0
5/28/1999,46.058,46.782,45.473,46.531,29005066,0
6/1/1999,46.443,46.665,45.244,45.495,15566632,0
6/2/1999,45.473,46.504,44.332,46.267,26828630,0
6/3/1999,46.614,46.614,45.325,45.608,24931592,0
6/4/1999,45.942,47.163,45.942,47.003,29045789,0
6/7/1999,47.334,48.282,47.227,47.985,25701022,0
6/8/1999,48.088,48.315,46.535,46.776,18194416,0
6/9/1999,46.945,47.691,46.917,47.56,18752863,0
6/10/1999,47.062,47.338,46.454,47.02,21005612,0
6/11/1999,47.337,47.384,45.883,46.305,37053044,0
6/14/1999,46.471,46.471,45.32,45.43,31619585,0
6/15/1999,45.544,46.38,45.411,46.106,20459330,0
6/16/1999,47.261,48.482,47.203,48.482,33679540,0
6/17/1999,47.847,49.241,47.847,49.016,36403081,0
6/18/1999,48.563,49.378,48.484,49.234,12061658,0
6/21/1999,49.573,50.74,49.493,50.715,23628643,0
6/22/1999,50.418,51.06,49.19,49.19,24292742,0
6/23/1999,49.197,50.081,48.879,49.959,21484821,0
6/24/1999,49.941,49.968,48.738,48.971,33521219,0
6/25/1999,49.299,49.688,48.459,48.906,19312363,0
6/28/1999,49.322,50.132,48.92,50.063,17145734,0
6/29/1999,50.021,50.948,49.774,50.752,20128272,0
6/30/1999,50.8,53.598,50.202,51.536,43537331,0
7/1/1999,51.698,52.177,50.805,51.883,15258117,0
7/2/1999,51.873,52.596,51.873,52.541,7384313,0
7/6/1999,52.817,53.346,51.921,52.202,19669370,0
7/7/1999,52.175,52.512,51.81,52.289,23527814,0
7/8/1999,52.289,53.199,52.031,52.984,25104708,0
7/9/1999,53.178,53.568,52.785,53.514,9409294,0
7/12/1999,53.712,53.994,52.928,53.238,17479625,0
7/13/1999,52.984,53.182,52.563,52.984,13933392,0
7/14/1999,53.519,53.992,52.764,53.891,15452515,0
7/15/1999,54.075,54.38,53.775,54.38,14626451,0
7/16/1999,54.414,55.197,54.392,54.887,10989152,0
7/19/1999,55.105,55.105,54.108,54.325,15283007,0
7/20/1999,53.665,53.741,52.093,52.23,33182598,0
7/21/1999,52.338,52.93,51.917,52.477,24559291,0
7/22/1999,52.481,52.481,51.001,51.147,33879014,0
7/23/1999,51.533,51.746,50.69,51.223,27095234,0
7/26/1999,50.528,51.087,49.885,49.968,23973671,0
7/27/1999,50.968,51.751,50.534,50.968,30715846,0
7/28/1999,51.582,52.253,50.92,51.967,22727956,0
7/29/1999,51.004,51.423,50.358,50.865,29147742,0
7/30/1999,51.084,51.643,50.534,50.611,24483800,0
8/2/1999,50.692,51.698,50.278,50.469,21564422,0
8/3/1999,51.159,51.168,49.407,50.14,29086524,0
8/4/1999,50.144,50.517,49.196,49.234,29582458,0
8/5/1999,49.238,50.015,48.067,50.015,41810754,0
8/6/1999,49.658,50.58,49.126,49.48,27714700,0
8/9/1999,49.657,49.796,48.745,48.841,17855033,0
8/10/1999,48.713,49.066,47.341,48.407,37496448,0
8/11/1999,49.264,50.073,48.521,49.988,29303996,0
8/12/1999,50.188,50.521,49.294,49.406,28438831,0
8/13/1999,50.444,51.619,50.357,51.561,32074889,0
8/16/1999,51.531,52.141,51.195,51.967,25655231,0
8/17/1999,52.426,52.482,51.283,52.23,25513928,0
8/18/1999,51.982,52.625,51.45,51.646,15733132,0
8/19/1999,51.168,51.532,50.698,51.026,22718444,0
8/20/1999,51.079,51.836,50.797,51.836,15479782,0
